Algorithm,n_items,Capacity,TotalValue,Time_ms,Feasible
BruteForce,1000,10000,0,0,0
DP,1000,10000,121987.36,8.220,1
Greedy,1000,10000,121931.14,0.096,1
Backtrack,1000,10000,121987.36,0.265,1
BruteForce,2000,10000,0,0,0
DP,2000,10000,172628.03,17.384,1
Greedy,2000,10000,172628.03,0.227,1
Backtrack,2000,10000,0,0,0
BruteForce,3000,10000,0,0,0
DP,3000,10000,215446.60,24.778,1
Greedy,3000,10000,215361.71,0.306,1
Backtrack,3000,10000,0,0,0
BruteForce,4000,10000,0,0,0
DP,4000,10000,242537.27,32.818,1
Greedy,4000,10000,242463.31,0.394,1
Backtrack,4000,10000,0,0,0
BruteForce,5000,10000,0,0,0
DP,5000,10000,269636.24,39.442,1
Greedy,5000,10000,269636.24,0.511,1
Backtrack,5000,10000,0,0,0
BruteForce,6000,10000,0,0,0
DP,6000,10000,302488.60,46.723,1
Greedy,6000,10000,302412.93,0.607,1
Backtrack,6000,10000,0,0,0
BruteForce,7000,10000,0,0,0
DP,7000,10000,317859.40,54.520,1
Greedy,7000,10000,317859.40,0.738,1
Backtrack,7000,10000,0,0,0
BruteForce,8000,10000,0,0,0
DP,8000,10000,347960.65,62.296,1
Greedy,8000,10000,347960.65,0.846,1
Backtrack,8000,10000,0,0,0
BruteForce,9000,10000,0,0,0
DP,9000,10000,360611.83,70.028,1
Greedy,9000,10000,360518.60,0.953,1
Backtrack,9000,10000,0,0,0
BruteForce,10000,10000,0,0,0
DP,10000,10000,371610.75,76.811,1
Greedy,10000,10000,371572.82,1.034,1
Backtrack,10000,10000,0,0,0
BruteForce,20000,10000,0,0,0
DP,20000,10000,539653.12,150.829,1
Greedy,20000,10000,539653.12,2.279,1
Backtrack,20000,10000,0,0,0
BruteForce,40000,10000,0,0,0
DP,40000,10000,738312.98,302.375,1
Greedy,40000,10000,738273.76,4.816,1
Backtrack,40000,10000,0,0,0
BruteForce,80000,10000,0,0,0
DP,80000,10000,0,0,0
Greedy,80000,10000,1020225.57,10.157,1
Backtrack,80000,10000,0,0,0
BruteForce,160000,10000,0,0,0
DP,160000,10000,0,0,0
Greedy,160000,10000,1384038.18,20.900,1
Backtrack,160000,10000,0,0,0
BruteForce,320000,10000,0,0,0
DP,320000,10000,0,0,0
Greedy,320000,10000,1856306.37,42.848,1
Backtrack,320000,10000,0,0,0
BruteForce,1000,100000,0,0,0
DP,1000,100000,263782.77,91.874,1
Greedy,1000,100000,263782.77,0.153,1
Backtrack,1000,100000,263782.77,0.792,1
BruteForce,2000,100000,0,0,0
DP,2000,100000,529906.60,176.197,1
Greedy,2000,100000,529906.60,0.185,1
Backtrack,2000,100000,0,0,0
BruteForce,3000,100000,0,0,0
DP,3000,100000,681509.57,258.955,1
Greedy,3000,100000,681476.56,0.297,1
Backtrack,3000,100000,0,0,0
BruteForce,4000,100000,0,0,0
DP,4000,100000,788797.17,335.748,1
Greedy,4000,100000,788746.00,0.405,1
Backtrack,4000,100000,0,0,0
BruteForce,5000,100000,0,0,0
DP,5000,100000,877296.61,445.336,1
Greedy,5000,100000,877221.36,0.498,1
Backtrack,5000,100000,0,0,0
BruteForce,6000,100000,0,0,0
DP,6000,100000,0,0,0
Greedy,6000,100000,966833.49,0.585,1
Backtrack,6000,100000,0,0,0
BruteForce,7000,100000,0,0,0
DP,7000,100000,0,0,0
Greedy,7000,100000,1046234.05,0.656,1
Backtrack,7000,100000,0,0,0
BruteForce,8000,100000,0,0,0
DP,8000,100000,0,0,0
Greedy,8000,100000,1101780.05,0.802,1
Backtrack,8000,100000,0,0,0
BruteForce,9000,100000,0,0,0
DP,9000,100000,0,0,0
Greedy,9000,100000,1166513.48,0.921,1
Backtrack,9000,100000,0,0,0
BruteForce,10000,100000,0,0,0
DP,10000,100000,0,0,0
Greedy,10000,100000,1233747.66,0.967,1
Backtrack,10000,100000,0,0,0
BruteForce,20000,100000,0,0,0
DP,20000,100000,0,0,0
Greedy,20000,100000,1734617.59,2.516,1
Backtrack,20000,100000,0,0,0
BruteForce,40000,100000,0,0,0
DP,40000,100000,0,0,0
Greedy,40000,100000,2434519.36,4.595,1
Backtrack,40000,100000,0,0,0
BruteForce,80000,100000,0,0,0
DP,80000,100000,0,0,0
Greedy,80000,100000,3434463.09,11.084,1
Backtrack,80000,100000,0,0,0
BruteForce,160000,100000,0,0,0
DP,160000,100000,0,0,0
Greedy,160000,100000,4776594.96,21.492,1
Backtrack,160000,100000,0,0,0
BruteForce,320000,100000,0,0,0
DP,320000,100000,0,0,0
Greedy,320000,100000,6632368.44,44.152,1
Backtrack,320000,100000,0,0,0
BruteForce,1000,1000000,0,0,0
DP,1000,1000000,0,0,0
Greedy,1000,1000000,266526.07,0.084,1
Backtrack,1000,1000000,266526.07,0.797,1
BruteForce,2000,1000000,0,0,0
DP,2000,1000000,0,0,0
Greedy,2000,1000000,522931.48,0.179,1
Backtrack,2000,1000000,0,0,0
BruteForce,3000,1000000,0,0,0
DP,3000,1000000,0,0,0
Greedy,3000,1000000,792387.64,0.281,1
Backtrack,3000,1000000,0,0,0
BruteForce,4000,1000000,0,0,0
DP,4000,1000000,0,0,0
Greedy,4000,1000000,1056543.50,0.357,1
Backtrack,4000,1000000,0,0,0
BruteForce,5000,1000000,0,0,0
DP,5000,1000000,0,0,0
Greedy,5000,1000000,1324355.69,0.497,1
Backtrack,5000,1000000,0,0,0
BruteForce,6000,1000000,0,0,0
DP,6000,1000000,0,0,0
Greedy,6000,1000000,1582651.33,0.561,1
Backtrack,6000,1000000,0,0,0
BruteForce,7000,1000000,0,0,0
DP,7000,1000000,0,0,0
Greedy,7000,1000000,1845771.61,0.663,1
Backtrack,7000,1000000,0,0,0
BruteForce,8000,1000000,0,0,0
DP,8000,1000000,0,0,0
Greedy,8000,1000000,2112967.15,0.811,1
Backtrack,8000,1000000,0,0,0
BruteForce,9000,1000000,0,0,0
DP,9000,1000000,0,0,0
Greedy,9000,1000000,2383999.15,0.927,1
Backtrack,9000,1000000,0,0,0
BruteForce,10000,1000000,0,0,0
DP,10000,1000000,0,0,0
Greedy,10000,1000000,2637698.44,0.975,1
Backtrack,10000,1000000,0,0,0
BruteForce,20000,1000000,0,0,0
DP,20000,1000000,0,0,0
Greedy,20000,1000000,5259478.49,2.166,1
Backtrack,20000,1000000,0,0,0
BruteForce,40000,1000000,0,0,0
DP,40000,1000000,0,0,0
Greedy,40000,1000000,7874849.10,4.903,1
Backtrack,40000,1000000,0,0,0
BruteForce,80000,1000000,0,0,0
DP,80000,1000000,0,0,0
Greedy,80000,1000000,11116473.45,10.019,1
Backtrack,80000,1000000,0,0,0
BruteForce,160000,1000000,0,0,0
DP,160000,1000000,0,0,0
Greedy,160000,1000000,15620534.63,21.564,1
Backtrack,160000,1000000,0,0,0
BruteForce,320000,1000000,0,0,0
DP,320000,1000000,0,0,0
Greedy,320000,1000000,22100666.01,43.827,1
Backtrack,320000,1000000,0,0,0
