Algorithm,Size,Comparisons
Bubble,10,42
Merge,10,24
Quick,10,25
Bubble,50,1189
Merge,50,217
Quick,50,304
Bubble,100,4845
Merge,100,540
Quick,100,685
Bubble,200,19809
Merge,200,1274
Quick,200,1610
Bubble,500,123715
Merge,500,3879
Quick,500,4622
Bubble,1000,499380
Merge,1000,8726
Quick,1000,11300
Bubble,2000,1998934
Merge,2000,19464
Quick,2000,26980
Bubble,3000,4497122
Merge,3000,30957
Quick,3000,43365
Bubble,5000,12480847
Merge,5000,55247
Quick,5000,73180
Bubble,8000,31974679
Merge,8000,93760
Quick,8000,124634
Bubble,10000,49994220
Merge,10000,120468
Quick,10000,158989
Bubble,20000,199952050
Merge,20000,260932
Quick,20000,340377
Bubble,30000,449976872
Merge,30000,408600
Quick,30000,568390
Bubble,50000,1249938954
Merge,50000,718028
Quick,50000,993087
Bubble,80000,3199711840
Merge,80000,1203423
Quick,80000,1698984
Bubble,100000,4999829214
Merge,100000,1536377
Quick,100000,2322354
Bubble,200000,19999759815
Merge,200000,3272598
Quick,200000,5600652
Bubble,300000,0
Merge,300000,5084512
Quick,300000,10200958
Bubble,500000,0
Merge,500000,8837596
Quick,500000,21936874
Bubble,800000,0
Merge,800000,14690336
Quick,800000,47245065
Bubble,1000000,0
Merge,1000000,18673966
Quick,1000000,68330796
Bubble,2000000,0
Merge,2000000,39347760
Quick,2000000,240601162
Bubble,5000000,0
Merge,5000000,105049092
Quick,5000000,1365298766
Bubble,10000000,0
Merge,10000000,220096285
Quick,10000000,5282686911
