CallIndex,SubproblemSize
1,20000
2,10000
3,5000
4,2500
5,1250
6,625
7,313
8,157
9,79
10,40
11,20
12,10
13,5
14,3
15,2
16,1
17,1
18,1
19,2
20,1
21,1
22,5
23,3
24,2
25,1
26,1
27,1
28,2
29,1
30,1
31,10
32,5
33,3
34,2
35,1
36,1
37,1
38,2
39,1
40,1
41,5
42,3
43,2
44,1
45,1
46,1
47,2
48,1
49,1
50,20
51,10
52,5
53,3
54,2
55,1
56,1
57,1
58,2
59,1
60,1
61,5
62,3
63,2
64,1
65,1
66,1
67,2
68,1
69,1
70,10
71,5
72,3
73,2
74,1
75,1
76,1
77,2
78,1
79,1
80,5
81,3
82,2
83,1
84,1
85,1
86,2
87,1
88,1
89,39
90,20
91,10
92,5
93,3
94,2
95,1
96,1
97,1
98,2
99,1
100,1
101,5
102,3
103,2
104,1
105,1
106,1
107,2
108,1
109,1
110,10
111,5
112,3
113,2
114,1
115,1
116,1
117,2
118,1
119,1
120,5
121,3
122,2
123,1
124,1
125,1
126,2
127,1
128,1
129,19
130,10
131,5
132,3
133,2
134,1
135,1
136,1
137,2
138,1
139,1
140,5
141,3
142,2
143,1
144,1
145,1
146,2
147,1
148,1
149,9
150,5
151,3
152,2
153,1
154,1
155,1
156,2
157,1
158,1
159,4
160,2
161,1
162,1
163,2
164,1
165,1
166,78
167,39
168,20
169,10
170,5
171,3
172,2
173,1
174,1
175,1
176,2
177,1
178,1
179,5
180,3
181,2
182,1
183,1
184,1
185,2
186,1
187,1
188,10
189,5
190,3
191,2
192,1
193,1
194,1
195,2
196,1
197,1
198,5
199,3
200,2
201,1
202,1
203,1
204,2
205,1
206,1
207,19
208,10
209,5
210,3
211,2
212,1
213,1
214,1
215,2
216,1
217,1
218,5
219,3
220,2
221,1
222,1
223,1
224,2
225,1
226,1
227,9
228,5
229,3
230,2
231,1
232,1
233,1
234,2
235,1
236,1
237,4
238,2
239,1
240,1
241,2
242,1
243,1
244,39
245,20
246,10
247,5
248,3
249,2
250,1
251,1
252,1
253,2
254,1
255,1
256,5
257,3
258,2
259,1
260,1
261,1
262,2
263,1
264,1
265,10
266,5
267,3
268,2
269,1
270,1
271,1
272,2
273,1
274,1
275,5
276,3
277,2
278,1
279,1
280,1
281,2
282,1
283,1
284,19
285,10
286,5
287,3
288,2
289,1
290,1
291,1
292,2
293,1
294,1
295,5
296,3
297,2
298,1
299,1
300,1
301,2
302,1
303,1
304,9
305,5
306,3
307,2
308,1
309,1
310,1
311,2
312,1
313,1
314,4
315,2
316,1
317,1
318,2
319,1
320,1
321,156
322,78
323,39
324,20
325,10
326,5
327,3
328,2
329,1
330,1
331,1
332,2
333,1
334,1
335,5
336,3
337,2
338,1
339,1
340,1
341,2
342,1
343,1
344,10
345,5
346,3
347,2
348,1
349,1
350,1
351,2
352,1
353,1
354,5
355,3
356,2
357,1
358,1
359,1
360,2
361,1
362,1
363,19
364,10
365,5
366,3
367,2
368,1
369,1
370,1
371,2
372,1
373,1
374,5
375,3
376,2
377,1
378,1
379,1
380,2
381,1
382,1
383,9
384,5
385,3
386,2
387,1
388,1
389,1
390,2
391,1
392,1
393,4
394,2
395,1
396,1
397,2
398,1
399,1
400,39
401,20
402,10
403,5
404,3
405,2
406,1
407,1
408,1
409,2
410,1
411,1
412,5
413,3
414,2
415,1
416,1
417,1
418,2
419,1
420,1
421,10
422,5
423,3
424,2
425,1
426,1
427,1
428,2
429,1
430,1
431,5
432,3
433,2
434,1
435,1
436,1
437,2
438,1
439,1
440,19
441,10
442,5
443,3
444,2
445,1
446,1
447,1
448,2
449,1
450,1
451,5
452,3
453,2
454,1
455,1
456,1
457,2
458,1
459,1
460,9
461,5
462,3
463,2
464,1
465,1
466,1
467,2
468,1
469,1
470,4
471,2
472,1
473,1
474,2
475,1
476,1
477,78
478,39
479,20
480,10
481,5
482,3
483,2
484,1
485,1
486,1
487,2
488,1
489,1
490,5
491,3
492,2
493,1
494,1
495,1
496,2
497,1
498,1
499,10
500,5
501,3
502,2
503,1
504,1
505,1
506,2
507,1
508,1
509,5
510,3
511,2
512,1
513,1
514,1
515,2
516,1
517,1
518,19
519,10
520,5
521,3
522,2
523,1
524,1
525,1
526,2
527,1
528,1
529,5
530,3
531,2
532,1
533,1
534,1
535,2
536,1
537,1
538,9
539,5
540,3
541,2
542,1
543,1
544,1
545,2
546,1
547,1
548,4
549,2
550,1
551,1
552,2
553,1
554,1
555,39
556,20
557,10
558,5
559,3
560,2
561,1
562,1
563,1
564,2
