CallIndex,SubproblemSize
1,200
2,3
3,0
4,2
5,0
6,1
7,196
8,112
9,93
10,30
11,6
12,1
13,4
14,2
15,0
16,1
17,1
18,23
19,12
20,8
21,0
22,7
23,1
24,5
25,4
26,0
27,3
28,0
29,2
30,1
31,0
32,0
33,3
34,2
35,1
36,0
37,0
38,10
39,8
40,3
41,2
42,0
43,1
44,0
45,4
46,2
47,0
48,1
49,1
50,1
51,62
52,39
53,6
54,2
55,1
56,0
57,3
58,0
59,2
60,1
61,0
62,32
63,29
64,16
65,0
66,15
67,7
68,5
69,0
70,4
71,2
72,0
73,1
74,1
75,1
76,7
77,3
78,1
79,1
80,3
81,0
82,2
83,0
84,1
85,12
86,5
87,2
88,1
89,0
90,2
91,1
92,0
93,6
94,4
95,0
96,3
97,0
98,2
99,0
100,1
101,1
102,2
103,1
104,0
105,22
106,15
107,6
108,1
109,4
110,1
111,2
112,0
113,1
114,8
115,7
116,2
117,1
118,0
119,4
120,0
121,3
122,0
123,2
124,1
125,0
126,0
127,6
128,1
129,4
130,1
131,2
132,1
133,0
134,18
135,13
136,12
137,1
138,10
139,1
140,8
141,1
142,6
143,2
144,1
145,0
146,3
147,2
148,1
149,0
150,0
151,0
152,4
153,2
154,1
155,0
156,1
157,83
158,57
159,52
160,32
161,2
162,0
163,1
164,29
165,8
166,1
167,6
168,0
169,5
170,3
171,1
172,1
173,1
174,20
175,13
176,1
177,11
178,2
179,0
180,1
181,8
182,2
183,1
184,0
185,5
186,3
187,2
188,1
189,0
190,0
191,1
192,6
193,0
194,5
195,2
196,1
197,0
198,2
199,1
200,0
201,19
202,14
203,8
204,1
205,6
206,5
207,2
208,1
209,0
210,2
211,0
212,1
213,0
214,5
215,0
216,4
217,3
218,1
219,1
220,0
221,4
222,1
223,2
224,1
225,0
226,4
227,1
228,2
229,0
230,1
231,25
232,2
233,1
234,0
235,22
236,5
237,1
238,3
239,0
240,2
241,0
242,1
243,16
244,3
245,0
246,2
247,0
248,1
249,12
250,7
251,3
252,0
253,2
254,0
255,1
256,3
257,1
258,1
259,4
260,2
261,0
262,1
263,1
