CallIndex,SubproblemSize
1,10000
2,5000
3,2500
4,1250
5,625
6,313
7,157
8,79
9,40
10,20
11,10
12,5
13,3
14,2
15,1
16,1
17,1
18,2
19,1
20,1
21,5
22,3
23,2
24,1
25,1
26,1
27,2
28,1
29,1
30,10
31,5
32,3
33,2
34,1
35,1
36,1
37,2
38,1
39,1
40,5
41,3
42,2
43,1
44,1
45,1
46,2
47,1
48,1
49,20
50,10
51,5
52,3
53,2
54,1
55,1
56,1
57,2
58,1
59,1
60,5
61,3
62,2
63,1
64,1
65,1
66,2
67,1
68,1
69,10
70,5
71,3
72,2
73,1
74,1
75,1
76,2
77,1
78,1
79,5
80,3
81,2
82,1
83,1
84,1
85,2
86,1
87,1
88,39
89,20
90,10
91,5
92,3
93,2
94,1
95,1
96,1
97,2
98,1
99,1
100,5
101,3
102,2
103,1
104,1
105,1
106,2
107,1
108,1
109,10
110,5
111,3
112,2
113,1
114,1
115,1
116,2
117,1
118,1
119,5
120,3
121,2
122,1
123,1
124,1
125,2
126,1
127,1
128,19
129,10
130,5
131,3
132,2
133,1
134,1
135,1
136,2
137,1
138,1
139,5
140,3
141,2
142,1
143,1
144,1
145,2
146,1
147,1
148,9
149,5
150,3
151,2
152,1
153,1
154,1
155,2
156,1
157,1
158,4
159,2
160,1
161,1
162,2
163,1
164,1
165,78
166,39
167,20
168,10
169,5
170,3
171,2
172,1
173,1
174,1
175,2
176,1
177,1
178,5
179,3
180,2
181,1
182,1
183,1
184,2
185,1
186,1
187,10
188,5
189,3
190,2
191,1
192,1
193,1
194,2
195,1
196,1
197,5
198,3
199,2
200,1
201,1
202,1
203,2
204,1
205,1
206,19
207,10
208,5
209,3
210,2
211,1
212,1
213,1
214,2
215,1
216,1
217,5
218,3
219,2
220,1
221,1
222,1
223,2
224,1
225,1
226,9
227,5
228,3
229,2
230,1
231,1
232,1
233,2
234,1
235,1
236,4
237,2
238,1
239,1
240,2
241,1
242,1
243,39
244,20
245,10
246,5
247,3
248,2
249,1
250,1
251,1
252,2
253,1
