CallIndex,SubproblemSize
1,80000
2,1699
3,1606
4,963
5,555
6,419
7,311
8,230
9,188
10,141
11,109
12,22
13,12
14,0
15,11
16,4
17,0
18,3
19,0
20,2
21,0
22,1
23,6
24,0
25,5
26,0
27,4
28,0
29,3
30,0
31,2
32,0
33,1
34,9
35,0
36,8
37,0
38,7
39,0
40,6
41,0
42,5
43,0
44,4
45,0
46,3
47,0
48,2
49,0
50,1
51,86
52,26
53,0
54,25
55,0
56,24
57,0
58,23
59,0
60,22
61,0
62,21
63,0
64,20
65,10
66,0
67,9
68,0
69,8
70,0
71,7
72,0
73,6
74,0
75,5
76,0
77,4
78,0
79,3
80,0
81,2
82,0
83,1
84,9
85,0
86,8
87,0
88,7
89,0
90,6
91,0
92,5
93,0
94,4
95,0
96,3
97,0
98,2
99,0
100,1
101,59
102,0
103,58
104,27
105,8
106,0
107,7
108,0
109,6
110,0
111,5
112,0
113,4
114,0
115,3
116,0
117,2
118,0
119,1
120,18
121,0
122,17
123,7
124,0
125,6
126,0
127,5
128,0
129,4
130,0
131,3
132,0
133,2
134,0
135,1
136,9
137,0
138,8
139,0
140,7
141,0
142,6
143,0
144,5
145,0
146,4
147,0
148,3
149,0
150,2
151,0
152,1
153,30
154,17
155,9
156,0
157,8
158,0
159,7
160,0
161,6
162,0
163,5
164,0
165,4
166,0
167,3
168,0
169,2
170,0
171,1
172,7
173,0
174,6
175,0
176,5
177,0
178,4
179,0
180,3
181,0
182,2
183,0
184,1
185,12
186,0
187,11
188,6
189,0
190,5
191,0
192,4
193,0
194,3
195,0
196,2
197,0
198,1
199,4
200,0
201,3
202,0
203,2
204,0
205,1
206,31
207,0
208,30
209,13
210,0
211,12
212,0
213,11
214,0
215,10
216,0
217,9
218,0
219,8
220,0
221,7
222,0
223,6
224,0
225,5
226,0
227,4
228,0
229,3
230,0
231,2
232,0
233,1
234,16
235,10
236,0
237,9
238,0
239,8
240,0
241,7
242,0
243,6
244,0
245,5
246,0
247,4
248,0
249,3
250,0
251,2
252,0
253,1
254,5
255,0
256,4
257,0
258,3
259,0
260,2
261,0
262,1
263,46
264,0
265,45
266,11
267,0
268,10
269,0
270,9
271,0
272,8
273,0
274,7
275,0
276,6
277,0
278,5
279,0
280,4
281,0
282,3
283,0
284,2
285,0
286,1
287,33
288,16
289,0
290,15
291,0
292,14
293,9
294,0
295,8
296,0
297,7
298,0
299,6
300,0
301,5
302,0
303,4
304,0
305,3
306,0
307,2
308,0
309,1
310,4
311,0
312,3
313,0
314,2
315,0
316,1
317,16
318,0
319,15
320,9
321,0
322,8
323,0
324,7
325,0
326,6
327,0
328,5
329,0
330,4
331,0
332,3
333,0
334,2
335,0
336,1
337,5
338,0
339,4
340,0
341,3
342,0
343,2
344,0
345,1
346,41
347,0
348,40
349,5
350,0
351,4
352,0
353,3
354,0
355,2
356,0
357,1
358,34
359,7
360,0
361,6
362,0
363,5
364,0
365,4
366,0
367,3
368,0
369,2
370,0
371,1
372,26
373,0
374,25
375,0
376,24
377,12
378,0
379,11
380,0
381,10
382,0
383,9
384,0
385,8
386,0
387,7
388,0
389,6
390,0
391,5
392,0
393,4
394,0
395,3
396,0
397,2
398,0
399,1
400,11
401,0
402,10
403,0
404,9
405,0
406,8
407,0
408,7
409,0
410,6
411,0
412,5
413,0
414,4
415,0
416,3
417,0
418,2
419,0
420,1
421,80
422,37
423,26
424,0
425,25
426,0
427,24
428,0
429,23
430,8
431,0
432,7
433,0
434,6
435,0
436,5
437,0
438,4
439,0
440,3
441,0
442,2
443,0
444,1
445,14
446,7
447,0
448,6
449,0
450,5
451,0
452,4
453,0
454,3
455,0
456,2
457,0
458,1
459,6
460,0
461,5
462,0
463,4
464,0
465,3
466,0
467,2
468,0
469,1
470,10
471,0
472,9
473,0
474,8
475,0
476,7
477,0
478,6
479,0
480,5
481,0
482,4
483,0
484,3
485,0
486,2
487,0
488,1
489,42
490,29
491,9
492,0
493,8
494,0
495,7
496,0
497,6
498,0
499,5
500,0
501,4
502,0
503,3
504,0
505,2
506,0
507,1
508,19
509,12
510,0
511,11
512,0
513,10
514,0
515,9
516,0
517,8
518,0
519,7
520,0
521,6
522,0
523,5
524,0
525,4
526,0
527,3
528,0
529,2
530,0
531,1
532,6
533,0
534,5
535,0
536,4
537,0
538,3
539,0
540,2
541,0
542,1
543,12
544,5
545,0
546,4
547,0
548,3
549,0
550,2
551,0
552,1
553,6
554,0
555,5
556,0
557,4
558,0
559,3
560,0
561,2
562,0
563,1
564,107
565,18
566,0
567,17
568,0
569,16
570,7
571,0
572,6
573,0
574,5
575,0
576,4
577,0
578,3
579,0
580,2
581,0
582,1
583,8
584,0
585,7
586,0
587,6
588,0
589,5
590,0
591,4
592,0
593,3
594,0
595,2
596,0
597,1
598,88
599,14
600,0
601,13
602,0
603,12
604,0
605,11
606,0
607,10
608,0
609,9
610,0
611,8
612,0
613,7
614,0
615,6
616,0
617,5
618,0
619,4
620,0
621,3
622,0
623,2
624,0
625,1
626,73
627,0
628,72
629,0
630,71
631,43
632,9
633,0
634,8
635,0
636,7
637,0
638,6
639,0
640,5
641,0
642,4
643,0
644,3
645,0
646,2
647,0
648,1
649,33
650,0
651,32
652,12
653,0
654,11
655,0
656,10
657,0
658,9
659,0
660,8
661,0
662,7
663,0
664,6
665,0
666,5
667,0
668,4
669,0
670,3
671,0
672,2
673,0
674,1
675,19
676,0
677,18
678,0
679,17
680,5
681,0
682,4
683,0
684,3
685,0
686,2
687,0
688,1
689,11
690,0
691,10
692,0
693,9
694,0
695,8
696,0
697,7
698,0
699,6
700,0
701,5
702,0
703,4
704,0
705,3
706,0
707,2
708,0
709,1
710,27
711,9
712,0
713,8
714,0
715,7
716,0
717,6
718,0
719,5
720,0
721,4
722,0
723,3
724,0
725,2
726,0
727,1
728,17
729,8
730,0
731,7
732,0
733,6
734,0
735,5
736,0
737,4
738,0
739,3
740,0
741,2
742,0
743,1
744,8
745,0
746,7
747,0
748,6
749,0
750,5
751,0
752,4
753,0
754,3
755,0
756,2
757,0
758,1
759,135
760,37
761,0
762,36
763,0
764,35
765,0
766,34
767,0
768,33
769,16
770,6
771,0
772,5
773,0
774,4
775,0
776,3
777,0
778,2
779,0
780,1
781,9
782,0
783,8
784,0
785,7
786,0
787,6
788,0
789,5
790,0
791,4
792,0
793,3
794,0
795,2
796,0
797,1
798,16
799,0
800,15
801,0
802,14
803,0
804,13
805,0
806,12
807,0
808,11
809,0
810,10
811,0
812,9
813,0
814,8
815,0
816,7
817,0
818,6
819,0
820,5
821,0
822,4
823,0
824,3
825,0
826,2
827,0
828,1
829,97
830,7
831,0
832,6
833,0
834,5
835,0
836,4
837,0
838,3
839,0
840,2
841,0
842,1
843,89
844,69
845,38
846,0
847,37
848,10
849,0
850,9
851,0
852,8
853,0
854,7
855,0
856,6
857,0
858,5
859,0
860,4
861,0
862,3
863,0
864,2
865,0
866,1
867,26
868,5
869,0
870,4
871,0
872,3
873,0
874,2
875,0
876,1
877,20
878,0
879,19
880,0
881,18
882,0
883,17
884,4
885,0
886,3
887,0
888,2
889,0
890,1
891,12
892,0
893,11
894,0
895,10
896,0
897,9
898,0
899,8
900,0
901,7
902,0
903,6
904,0
905,5
906,0
907,4
908,0
909,3
910,0
911,2
912,0
913,1
914,30
915,10
916,0
917,9
918,0
919,8
920,0
921,7
922,0
923,6
924,0
925,5
926,0
927,4
928,0
929,3
930,0
931,2
932,0
933,1
934,19
935,9
936,6
937,0
938,5
939,0
940,4
941,0
942,3
943,0
944,2
945,0
946,1
947,2
948,0
949,1
950,9
951,0
952,8
953,0
954,7
955,0
956,6
957,0
958,5
959,0
960,4
961,0
962,3
963,0
964,2
965,0
966,1
967,19
968,9
969,0
970,8
971,0
972,7
973,0
974,6
975,0
976,5
977,0
978,4
979,0
980,3
981,0
982,2
983,0
984,1
985,9
986,0
987,8
988,0
989,7
990,0
991,6
992,0
993,5
994,0
995,4
996,0
997,3
998,0
999,2
1000,0
1001,1
1002,407
1003,214
1004,208
1005,127
1006,117
1007,30
1008,8
1009,0
1010,7
1011,0
1012,6
1013,0
1014,5
1015,0
1016,4
1017,0
1018,3
1019,0
1020,2
1021,0
1022,1
1023,21
1024,0
1025,20
1026,9
1027,0
1028,8
1029,0
1030,7
1031,0
1032,6
1033,0
1034,5
1035,0
1036,4
1037,0
1038,3
1039,0
1040,2
1041,0
1042,1
1043,10
1044,0
1045,9
1046,0
1047,8
1048,0
1049,7
1050,0
1051,6
1052,0
1053,5
1054,0
1055,4
1056,0
1057,3
1058,0
1059,2
1060,0
1061,1
1062,86
1063,58
1064,0
1065,57
1066,46
1067,39
1068,28
1069,0
1070,27
1071,5
1072,0
1073,4
1074,0
1075,3
1076,0
1077,2
1078,0
1079,1
1080,21
1081,0
1082,20
1083,6
1084,0
1085,5
1086,0
1087,4
1088,0
1089,3
1090,0
1091,2
1092,0
1093,1
1094,13
1095,0
1096,12
1097,0
1098,11
1099,0
1100,10
1101,0
1102,9
1103,0
1104,8
1105,0
1106,7
1107,0
1108,6
1109,0
1110,5
1111,0
1112,4
1113,0
1114,3
1115,0
1116,2
1117,0
1118,1
1119,10
1120,0
1121,9
1122,0
1123,8
1124,0
1125,7
1126,0
1127,6
1128,0
1129,5
1130,0
1131,4
1132,0
1133,3
1134,0
1135,2
1136,0
1137,1
1138,6
1139,0
1140,5
1141,0
1142,4
1143,0
1144,3
1145,0
1146,2
1147,0
1148,1
1149,10
1150,0
1151,9
1152,0
1153,8
1154,0
1155,7
1156,4
1157,0
1158,3
1159,0
1160,2
1161,0
1162,1
1163,2
1164,0
1165,1
1166,27
1167,0
1168,26
1169,6
1170,0
1171,5
1172,0
1173,4
1174,0
1175,3
1176,0
1177,2
1178,0
1179,1
1180,19
1181,0
1182,18
1183,0
1184,17
1185,7
1186,0
1187,6
1188,0
1189,5
1190,0
1191,4
1192,0
1193,3
1194,0
1195,2
1196,0
1197,1
1198,9
1199,0
1200,8
1201,0
1202,7
1203,0
1204,6
1205,0
1206,5
1207,0
1208,4
1209,0
1210,3
1211,0
1212,2
1213,0
1214,1
1215,9
1216,0
1217,8
1218,0
1219,7
1220,0
1221,6
1222,0
1223,5
1224,0
1225,4
1226,0
1227,3
1228,0
1229,2
1230,0
1231,1
1232,80
1233,58
1234,0
1235,57
1236,0
1237,56
1238,39
1239,26
1240,0
1241,25
1242,11
1243,0
1244,10
1245,0
1246,9
1247,0
1248,8
1249,0
1250,7
1251,0
1252,6
1253,0
1254,5
1255,0
1256,4
1257,0
1258,3
1259,0
1260,2
1261,0
1262,1
1263,13
1264,0
1265,12
1266,0
1267,11
1268,0
1269,10
1270,0
1271,9
1272,0
1273,8
1274,0
1275,7
1276,0
1277,6
1278,0
1279,5
1280,0
1281,4
1282,0
1283,3
1284,0
1285,2
1286,0
1287,1
1288,12
1289,0
1290,11
1291,0
1292,10
1293,0
1294,9
1295,0
1296,8
1297,0
1298,7
1299,0
1300,6
1301,0
1302,5
1303,0
1304,4
1305,0
1306,3
1307,0
1308,2
1309,0
1310,1
1311,16
1312,6
1313,0
1314,5
1315,0
1316,4
1317,0
1318,3
1319,0
1320,2
1321,0
1322,1
1323,9
1324,0
1325,8
1326,0
1327,7
1328,0
1329,6
1330,0
1331,5
1332,0
1333,4
1334,0
1335,3
1336,0
1337,2
1338,0
1339,1
1340,21
1341,0
1342,20
1343,0
1344,19
1345,10
1346,0
1347,9
1348,0
1349,8
1350,0
1351,7
1352,0
1353,6
1354,0
1355,5
1356,0
1357,4
1358,0
1359,3
1360,0
1361,2
1362,0
1363,1
1364,8
1365,0
1366,7
1367,0
1368,6
1369,0
1370,5
1371,0
1372,4
1373,0
1374,3
1375,0
1376,2
1377,0
1378,1
1379,5
1380,0
1381,4
1382,0
1383,3
1384,0
1385,2
1386,0
1387,1
1388,192
1389,103
1390,40
1391,28
1392,10
1393,0
1394,9
1395,0
1396,8
1397,0
1398,7
1399,0
1400,6
1401,0
1402,5
1403,0
1404,4
1405,0
1406,3
1407,0
1408,2
1409,0
1410,1
1411,17
1412,9
1413,0
1414,8
1415,0
1416,7
1417,0
1418,6
1419,0
1420,5
1421,0
1422,4
1423,0
1424,3
1425,0
1426,2
1427,0
1428,1
1429,7
1430,0
1431,6
1432,0
1433,5
1434,0
1435,4
1436,0
1437,3
1438,0
1439,2
1440,0
1441,1
1442,11
1443,8
1444,0
1445,7
1446,0
1447,6
1448,0
1449,5
1450,0
1451,4
1452,0
1453,3
1454,0
1455,2
1456,0
1457,1
1458,2
1459,0
1460,1
1461,62
1462,45
1463,34
1464,11
1465,0
1466,10
1467,0
1468,9
